Frame,Time_Seconds,Knee_Angle_Raw,Knee_Angle_SG,Hip_Angle_SG,Elbow_Angle_SG,Ground_Truth,Prediction
75,1.5,176.19558935811452,175.55442339826294,167.57624266734092,168.90796655213396,Squatting,Standing
76,1.52,175.20978019194462,175.34778525378988,167.6469212463068,168.72284558695793,Squatting,Standing
77,1.54,174.25838328507422,174.95039396477816,167.89618977729302,168.52346781485016,Squatting,Standing
78,1.56,174.2845953253679,174.50821584790805,168.164359456332,168.38500447822014,Squatting,Standing
79,1.58,174.2845953253679,174.16442991136466,168.25222529558923,168.4289632762438,Squatting,Standing
80,1.6,174.7756161461963,173.99666502729974,168.24208680159762,168.464577480897,Squatting,Standing
81,1.62,173.22569023130305,173.86097938683386,168.2796244180425,168.4530945666348,Squatting,Standing
82,1.64,173.68648433444616,173.72603653870027,168.25487874603056,168.15233087798546,Squatting,Standing
83,1.66,173.68648433444616,173.48542285776546,168.29916881982146,167.57265512341166,Squatting,Standing
84,1.68,173.68648433444616,173.31949044452722,168.2424588795753,166.78107027159902,Squatting,Standing
85,1.7,172.73331334292126,173.2314687875095,168.1042791452457,165.57559699751755,Squatting,Standing
86,1.72,173.28038321207825,173.36827094994138,167.91401646609702,164.0398948833049,Squatting,Standing
87,1.74,173.28038321207825,173.36185308464465,167.8001006637348,162.22008374262418,Squatting,Standing
88,1.76,173.65448353212642,173.52786029570538,167.53648634370714,160.36581894314216,Squatting,Standing
89,1.78,173.65448353212642,173.63033262521137,167.30481594875684,158.3434508269927,Squatting,Standing
90,1.8,173.77068657643017,173.69186271182159,167.1824588387083,157.1291782879542,Squatting,Standing
91,1.82,173.68441081042022,173.54305177265735,167.25951199214836,156.22545086250946,Squatting,Standing
92,1.84,173.74075929813642,173.34892481739956,167.37097472417955,155.68606611141752,Squatting,Standing
93,1.86,172.70322378009115,173.10196370273326,167.52895841976647,154.93676736649746,Squatting,Standing
94,1.88,172.70322378009115,172.89472821625145,167.5889530089169,154.59278052004277,Squatting,Standing
95,1.9,172.70322378009115,172.71035649695966,167.6236182850166,152.41195825694118,Squatting,Standing
96,1.92,172.58556065454968,172.58777682216356,167.6292360473956,148.08803362121037,Squatting,Standing
97,1.94,172.70322378009115,172.57960666315495,167.58626380052834,142.60218666345878,Squatting,Standing
98,1.96,172.70322378009115,172.63857848116717,167.52568883249825,137.24608745120753,Squatting,Standing
99,1.98,172.70322378009115,172.72982177502053,167.4844349274827,132.24300358349362,Squatting,Standing
100,2.0,172.79353454893524,172.86604503911832,167.43825175637434,128.96274904282976,Squatting,Standing
101,2.02,173.08171109730128,173.0967281029178,167.2706924131026,126.55279216982059,Squatting,Standing
102,2.04,173.0554990570063,173.39056636668187,167.02356513540263,125.69243012612996,Squatting,Standing
103,2.06,173.96154363120962,173.54272185739805,166.7486829934118,125.62543856478834,Squatting,Standing
104,2.08,173.93255879518262,173.74990975984446,166.3728692654444,127.2223116687844,Squatting,Standing
105,2.1,174.3852248356403,174.17885688123667,165.94214358885313,127.48549551930266,Squatting,Standing
106,2.12,174.46588897988474,174.4555982364622,165.6300516634525,126.94605081508949,Squatting,Standing
107,2.14,174.271147199643,175.0997093222384,165.2511541935997,124.6417286796013,Squatting,Standing
108,2.16,176.1298926817046,175.87113616330794,164.90931487355587,122.51052941779679,Squatting,Standing
109,2.18,177.47700887396158,177.08149363606697,164.4736577904226,117.21216654353341,Squatting,Standing
110,2.2,177.51959212846435,178.53076489523684,163.89577234883373,110.26870063031542,Squatting,Standing
111,2.22,178.93496806642767,179.59009129540277,163.05128360499464,100.77566804582521,Squatting,Standing
112,2.24,177.97550000928544,177.6929398677187,162.32329419464304,90.70495546053803,Squatting,Standing
113,2.26,175.36656943513935,175.6784988498014,161.69650429672237,80.77167780657948,Standing,Standing
114,2.28,173.53873665188257,173.37950758834089,161.0105515289488,72.90783529727159,Standing,Standing
115,2.3,170.867179248477,171.0604326911785,160.52982216917601,66.14201342464926,Standing,Standing
116,2.32,169.72213187422207,169.28123486534776,160.3675503024907,61.59541487544846,Standing,Standing
117,2.34,166.32743877389402,167.32578347804838,160.19906321177118,57.47773973832027,Standing,Standing
118,2.36,165.07606708517596,165.5351893518145,160.01364733366825,54.72270633540047,Standing,Standing
119,2.38,164.18845621061655,163.57377255453034,159.75133370276015,51.65499903555937,Standing,Standing
120,2.4,162.8018089677888,161.68185755742095,159.35065208371304,49.115963048084474,Standing,Standing
121,2.42,159.47948684879094,159.54027420355703,158.6723535869827,45.893519774847825,Standing,Standing
122,2.44,157.02967831637667,157.53136270743326,158.1126620120535,43.32575478916174,Standing,Standing
123,2.46,154.6214681885965,155.0936103925325,157.24263040659207,41.47630562439093,Standing,Standing
124,2.48,153.26983175969815,152.79098254170881,156.21609906549034,40.39271078994625,Standing,Standing
125,2.5,150.5545712699688,150.63801086770616,155.17683478734182,39.56021557083038,Standing,Standing
126,2.52,149.12441788192433,148.9632005278172,154.3108671278143,39.153128635205725,Standing,Standing
127,2.54,146.63893182942942,147.41147347084734,153.3835528614603,38.72949546327345,Standing,Standing
128,2.56,146.29557083002965,145.99134162693827,152.51921303502277,38.531748571488535,Standing,Standing
129,2.58,144.22522879778583,144.6701095175414,151.72097574350084,38.58876381777584,Standing,Squatting
130,2.6,144.09877926899415,143.5756151288003,150.9931219444744,38.62482251731602,Standing,Squatting
131,2.62,142.3362368620332,142.23441677213603,149.98415653584607,38.518693615530616,Standing,Squatting
132,2.64,141.11550356619392,141.0262675062543,149.16392997396514,38.415338714579946,Standing,Squatting
133,2.66,139.70313453786596,139.43219314095245,147.8167962586334,38.16868779379696,Standing,Squatting
134,2.68,137.93888337992897,137.965451865466,146.3881274807307,37.76158205589168,Standing,Squatting
135,2.7,135.58823168837944,136.30799927875026,144.6769198297714,37.42575444401795,Standing,Squatting
136,2.72,135.19035072654506,134.77967607231665,143.11127971392688,37.2583308853878,Standing,Squatting
137,2.74,132.19754848005306,132.92204431456773,141.1535454821888,37.27707294415295,Standing,Squatting
138,2.76,131.70785288692423,131.13747417340662,139.33032713110597,37.315287755028166,Standing,Squatting
139,2.78,129.627649394515,129.19023849973115,137.3335022772524,37.70744052194036,Standing,Squatting
140,2.8,127.35525217452042,127.43474916906453,135.5392815492561,38.041100541511824,Standing,Squatting
141,2.82,124.4280349841851,125.23896852615968,133.339053228847,38.64031907878224,Squatting,Squatting
142,2.84,123.63957184611324,123.34215931345543,131.43610860379778,39.139707170644705,Squatting,Squatting
143,2.86,120.84354813034956,121.01626083676531,129.10540552559843,39.93811028895137,Squatting,Squatting
144,2.88,119.96716571232915,118.94942573063997,127.0739285056745,40.61633896135673,Squatting,Squatting
145,2.9,116.34543469907454,117.16443093032947,125.36357077873198,41.62377051313669,Squatting,Squatting
146,2.92,115.40771810889548,115.51555361482411,123.87448116015267,42.429556485749785,Squatting,Squatting
147,2.94,113.20447787275667,113.60167183242311,122.20636112718768,43.141262365616505,Squatting,Squatting
148,2.96,112.22252237343423,112.02273545019402,120.99298130133698,43.533224235020064,Squatting,Squatting
149,2.98,111.28096197061296,110.26440925688803,119.63046125276469,43.86864268931198,Squatting,Squatting
150,3.0,108.65622206750751,108.77429970997933,118.36108111344907,43.97345183173831,Squatting,Squatting
151,3.02,106.64669702259154,107.04012137195771,116.81369742119809,44.085560506404406,Squatting,Squatting
152,3.04,105.79635828024354,105.66021289657039,115.53306502636842,43.98113848554364,Squatting,Squatting
153,3.06,103.71254194297889,104.23109022835067,114.27743551434457,43.90837514367728,Squatting,Squatting
154,3.08,102.996294953085,102.84635572925471,112.94377926441094,43.74861202328223,Squatting,Squatting
155,3.1,101.90903148121538,101.88609455702338,112.05415328521238,43.57480552153851,Squatting,Squatting
156,3.12,101.90903148121538,101.12169256178787,111.2887906977282,43.18560773815261,Squatting,Squatting
157,3.14,99.95569977130239,100.62833293290629,110.82085755965093,42.6881608670722,Squatting,Squatting
158,3.16,99.50808560044301,100.33352005519416,110.62338143706262,42.307987042434306,Squatting,Squatting
159,3.18,100.38276237156279,99.91221358657705,110.16658407254138,41.92383304761544,Squatting,Squatting
160,3.2,100.19826854924003,99.71093812873264,109.80770482600664,41.715725046961644,Squatting,Squatting
161,3.22,100.19826854924003,99.6269229357617,109.58850116120028,41.52819098271748,Squatting,Squatting
162,3.24,99.15563408636612,99.89486353680684,109.76541475508989,41.31295892114988,Squatting,Squatting
163,3.26,99.07403496830469,99.80853058010388,109.52739524800286,41.150009299058866,Squatting,Squatting
164,3.28,100.19826854924003,99.81523178316792,109.37172697756662,40.948621701960676,Squatting,Squatting
165,3.3,100.19826854924003,99.79930595726861,109.30345778033531,40.84583797567182,Squatting,Squatting
166,3.32,100.19826854924003,99.69715249614651,109.12772989644866,40.810108726354116,Squatting,Squatting
167,3.34,98.88954114598195,99.56881336185688,109.07665304246315,40.77091882550647,Squatting,Squatting
168,3.36,100.00986513051234,99.36773283354155,108.99325447621764,40.875730846756106,Squatting,Squatting
169,3.38,98.2907962372196,98.84383912456263,108.6318677229139,40.693132645368955,Squatting,Squatting
170,3.4,98.2907962372196,98.32175198977654,108.19286690167313,40.637204726519165,Squatting,Squatting
171,3.42,98.2907962372196,98.01655898132685,107.82187924849019,40.482506305366115,Squatting,Squatting
172,3.44,98.2907962372196,97.80480077287557,107.63269103281205,40.37178296390914,Squatting,Squatting
173,3.46,96.71232879536952,97.39370648251894,106.98201203115656,40.20997170288463,Squatting,Squatting
174,3.48,97.30548743868141,97.32113931889977,106.78740658214069,39.88568854974239,Squatting,Squatting
175,3.5,98.31512575677596,97.49130271844834,106.73691386148195,39.238448425233095,Squatting,Squatting
176,3.52,97.71817499220013,97.76383563128724,106.59916319889297,38.17907186438809,Squatting,Squatting
177,3.54,98.31512575677596,98.97278149433569,107.43294075377824,36.73213607654149,Squatting,Squatting
178,3.56,100.5526505358782,100.69519397215437,108.80005864237378,35.28779097832089,Squatting,Squatting
179,3.58,103.38946006991527,103.3310088501208,111.2397954861535,33.65147605303246,Squatting,Squatting
180,3.6,105.3634867058213,106.45012591338502,114.24118909909127,32.32647404591918,Squatting,Squatting
181,3.62,111.82185911764478,110.71311312066123,118.56043752372639,31.22203313307712,Squatting,Squatting
182,3.64,114.17268349293003,114.50541002493136,122.70296359668892,30.376850487259087,Squatting,Squatting
183,3.66,119.74488129688582,118.97423301576661,127.3897052817778,29.795288495397045,Squatting,Squatting
184,3.68,122.45323170115617,122.86332910310657,131.59459761656,29.422098185963524,Squatting,Squatting
185,3.7,127.206507131717,127.08308465211438,136.13245036754708,29.02780125760527,Squatting,Squatting
186,3.72,129.09385888615938,130.588338418293,139.65313805457046,28.61131908854474,Squatting,Squatting
187,3.74,135.60331598104244,134.2395149037351,143.2427126990357,28.237651726789327,Squatting,Squatting
188,3.76,136.58951673892037,137.43857450427151,146.2597319830856,27.886898329010712,Squatting,Squatting
189,3.78,141.43195604610585,140.5234916256977,149.15048410667202,27.411615870593415,Squatting,Squatting
190,3.8,142.4269591642042,142.83823514439976,151.2728547217561,27.090964418674545,Squatting,Squatting
191,3.82,145.11219920183444,145.18747296641328,153.24644527515443,27.081220247409565,Squatting,Standing
192,3.84,147.56049403944402,146.96983475657714,154.48588367281178,27.06899355257122,Squatting,Standing
193,3.86,148.97441149197212,149.005764141913,155.65784238387965,27.299932368077933,Squatting,Standing
194,3.88,149.85336991432442,150.73463332074155,156.41394557308442,27.4918801210193,Squatting,Standing
195,3.9,153.6449845037759,153.00972102625545,157.4948832276135,27.870751799535725,Squatting,Standing
196,3.92,154.32046614883328,154.94433984617584,158.1550102812142,28.225012147396782,Squatting,Standing
197,3.94,157.51622928405544,157.21046866478264,158.9283982913338,28.927024458626555,Squatting,Standing
198,3.96,159.46924348522168,159.59639179766307,159.76619049549998,29.222563977687194,Squatting,Standing
199,3.98,162.9861286862487,162.1991958355284,160.79982418548633,29.666487714946996,Squatting,Standing
200,4.0,163.53490183571932,164.82715161272438,161.70452303720728,30.205298962868298,Squatting,Standing
201,4.02,168.3231803814855,167.86609347709717,162.86570337165082,31.057795729108825,Squatting,Standing
202,4.04,170.1096504594381,170.79962524528676,163.8827905799515,31.89226108041403,Standing,Standing
203,4.06,174.1177023216235,173.82067859028365,164.92672828220316,32.742597010563685,Standing,Standing
204,4.08,176.59432122460416,176.45559213746077,165.8424095030853,33.40340788542671,Standing,Standing
205,4.1,179.26908269738746,178.82644805747398,166.71575180355305,34.11536222978244,Standing,Standing
206,4.12,179.2818673653012,179.55530726713644,167.19976747179265,34.71230210914446,Standing,Standing
207,4.14,177.90189113568434,178.22104308328295,167.54644167820695,35.35429077906983,Standing,Standing
208,4.16,177.94447439017856,177.5962676654991,167.65961368588495,35.47668015143172,Standing,Standing
209,4.18,177.24205562635015,177.16756647728383,167.7301353887415,35.633267667470896,Standing,Standing
210,4.2,176.7619002455922,176.85896527818332,167.69243443665113,35.79244781481136,Standing,Standing
211,4.22,176.7221892334625,176.59111464918502,167.72661803697954,35.97296265130518,Standing,Standing
212,4.24,176.83100473507727,176.27372910077807,167.7670510975876,36.06488459524057,Standing,Standing
213,4.26,175.8290154436445,175.9758831333212,167.80773164756093,35.86349003720691,Standing,Standing
214,4.28,175.35510910670263,175.77853133826426,167.80486428013427,35.86052392269803,Standing,Standing
215,4.3,175.65254309195205,175.59335860412457,167.78013067994152,35.5389298555032,Standing,Standing
216,4.32,175.20874618613882,175.48238910608023,167.70994195941898,35.34349102394157,Standing,Standing
217,4.34,175.75949442030975,175.2901510785557,167.73653511937374,34.56548488124068,Standing,Standing
218,4.36,175.28558808336544,175.33122302981994,167.68071765503248,33.53483940068583,Standing,Standing
219,4.38,175.25162496967778,175.16600941834537,167.690372580892,31.769353359340602,Standing,Standing
220,4.4,175.21817734971646,175.08694181702427,167.64212735687224,29.638247952705395,Standing,Standing
221,4.42,174.41993002524273,174.96661018878197,167.70577491117504,26.56601249939087,Standing,Standing
222,4.44,175.25162496967778,174.81086582620642,167.71800404535713,23.2536073345645,Standing,Standing
223,4.46,174.34058403038873,174.77984360405233,167.6497265752077,19.042004813089733,Standing,Standing
224,4.48,175.36117089105983,174.72482689684477,167.57956707760675,15.139020914585828,Standing,Standing
225,4.5,174.3711852983552,174.7658945852942,167.40849226119718,11.078261611134943,Standing,Standing
226,4.52,174.89228666343672,174.94958873799888,167.18668692430504,7.679403438811645,Standing,Standing
227,4.54,174.92677725613,174.99058974925782,166.96260288236493,4.330872004201275,Standing,Standing
228,4.56,175.00483685294392,175.0451009618794,166.7161790220177,1.3312267333537129,Standing,Standing
229,4.58,175.44946596401977,175.04054273379495,166.4839611415792,1.472704794109555,Squatting,Standing
230,4.6,175.48795002579783,175.2827976143024,166.20942769161502,3.7317177890040423,Squatting,Standing
231,4.62,174.9038083706508,175.35974690946563,166.0182240113634,5.678233493419699,Squatting,Standing
232,4.64,174.94229243243004,175.4170324350748,165.79897313912423,6.832815499339966,Squatting,Standing
233,4.66,175.93542656793522,175.44869178862814,165.58613982184295,7.8804566379009975,Squatting,Standing
234,4.68,175.9780098224506,175.58011269643333,165.4349492362861,8.257420503476888,Squatting,Standing
235,4.7,175.47150326936318,175.71543965897598,165.1714070975473,8.495685315716091,Squatting,Standing
236,4.72,175.5519264081577,175.93144297341107,164.95017010035463,8.349776330161472,Squatting,Standing
237,4.74,175.99874350901183,175.97886938059145,164.81709101693215,8.275718508867861,Squatting,Standing
238,4.76,176.45904761675246,175.97526677104986,164.76408725750562,8.426328426424533,Squatting,Standing
239,4.78,175.87297212194017,176.08456924555148,164.59705288263146,8.656812395489384,Squatting,Standing
240,4.8,176.336895420501,176.31685919352475,164.3558379931243,9.035448351987176,Squatting,Standing
241,4.82,175.99874350901183,176.3297035677426,164.17675097240416,8.702064994043898,Squatting,Standing
242,4.84,176.44484840491455,176.3061158596573,164.09982987903453,7.781897279462141,Squatting,Standing
243,4.86,176.44484840491455,176.20822439171275,163.98974354293497,6.236730357160727,Squatting,Standing
244,4.88,176.52399137698583,176.20610741692494,163.97065359308624,4.869045440810386,Squatting,Standing
245,4.9,175.57704899499785,176.0657907858966,164.06234017785673,2.5809353644127584,Squatting,Standing
246,4.92,176.03253823280704,175.8677453950093,164.35964829906004,0.32058914821507206,Squatting,Standing
247,4.94,175.57704899499785,175.6943152724351,164.73940763956517,4.785831894477088,Squatting,Standing
248,4.96,175.9087429627465,175.63021246954082,165.00821455306183,9.976931520150302,Squatting,Standing
249,4.98,175.46872330163785,175.6642954933512,165.20104040428484,16.404338431096363,Squatting,Standing
250,5.0,175.46872330163785,175.79345777849912,165.27810212249355,23.00746297514692,Squatting,Standing
251,5.02,176.3690470704913,175.92540375795542,165.418271908135,30.288912599078692,Squatting,Standing
252,5.04,176.3690470704913,176.1295140364346,165.5714448009904,36.56582103954818,Squatting,Standing
253,5.06,176.71344971580595,176.6516285824676,165.60478387512455,41.32136311711162,Squatting,Standing
254,5.08,177.17982752681783,177.39569000478167,165.69692177545326,44.04277962008579,Squatting,Standing
255,5.1,178.42479985817732,178.63211884457434,165.6328210759894,45.49707471189938,Squatting,Standing
256,5.12,179.65041305111995,179.77860827008618,165.47681461388754,45.56139925436553,Squatting,Standing
257,5.14,177.08660141063734,177.3996362269859,164.93083919228883,44.93448408076969,Squatting,Standing
258,5.16,175.40519835442444,174.7137047780033,164.1279031169739,43.18464018741344,Squatting,Standing
259,5.18,171.02304118796297,171.66601540000562,163.21910862701822,41.64382550644069,Squatting,Standing
260,5.2,168.51800864505194,168.48863219799634,162.06466231237252,40.41577199309744,Squatting,Standing
261,5.22,164.3431872308279,165.0794133160758,160.67170679213805,39.44854825032,Squatting,Standing
262,5.24,162.72405623583566,162.0157982238611,159.40736177844727,38.782894586688144,Squatting,Standing
263,5.26,158.7597585476046,158.7220465318947,157.98986701235035,38.497918431564884,Squatting,Standing
264,5.28,155.88086044518545,155.92872026679507,156.81654228619834,38.45567385584215,Squatting,Standing
265,5.3,152.51124201356197,153.19014995673075,155.58115525182205,38.31351343465909,Squatting,Standing
266,5.32,151.3444208192992,150.6625492756222,154.41187106655124,38.05383916609762,Squatting,Standing
267,5.34,147.14481016065668,148.1264077584965,153.05122982402017,37.67222704734888,Squatting,Standing
268,5.36,146.8437464168394,146.15304586742704,151.82368379088422,37.176451852122376,Squatting,Standing
269,5.38,143.87870189287295,143.9483932905125,150.49887432406788,36.91204043397254,Squatting,Squatting
270,5.4,141.58567806963498,141.89350707697722,149.11458331705865,36.59935334662097,Squatting,Squatting
271,5.42,139.9257685344348,139.55121084097195,147.22682298053047,36.12867040067117,Squatting,Squatting
272,5.44,138.1301757237167,137.6450622375075,145.62455559244844,35.649056789803964,Squatting,Squatting
273,5.46,133.94376086831647,135.02490020531965,143.26792287033678,35.52182921956812,Squatting,Squatting
274,5.48,133.59125698319966,132.82752249354357,141.24494767659993,35.503138295943074,Squatting,Squatting
275,5.5,129.23292603908212,130.09127414631982,138.6777218586695,35.468391294847045,Squatting,Squatting
276,5.52,128.24362347086668,127.2052765849084,135.8463372791748,35.35261167918484,Squatting,Squatting
277,5.54,122.86769654593247,123.99968317476196,132.64362290427223,35.25594449210957,Squatting,Squatting
278,5.56,122.19767777885676,120.8887291378496,129.5386890106664,35.355833378864865,Squatting,Squatting
279,5.58,116.40009257472299,117.32789834736455,126.18960371227898,35.401222737652525,Squatting,Squatting
280,5.6,114.6245037995074,114.57880906982766,123.64683813138495,35.56445694086233,Squatting,Squatting
281,5.62,110.45217299255015,111.13515193518444,120.27500520375699,35.52707503238011,Squatting,Squatting
282,5.64,108.41259385738121,108.29428219424587,117.49618575528687,35.82580285594808,Squatting,Squatting
283,5.66,105.18969391900653,104.5586190025394,113.69992425786222,35.947519917269155,Squatting,Squatting
284,5.68,102.5728249446559,101.24472714083568,110.28154634183883,36.2521904699642,Squatting,Squatting
285,5.7,96.71142057034405,97.3656447998043,106.38491179000452,36.22098532514946,Squatting,Squatting
286,5.72,94.43506408942609,93.93200733552273,102.76389307863549,36.30293445143191,Squatting,Squatting
287,5.74,88.36805737272326,90.26711625064618,99.08206713634678,36.30142142217407,Squatting,Squatting
288,5.76,87.50022144785471,87.15323372400391,95.9545049884137,36.479814676765635,Standing,Squatting
289,5.78,84.6129184287972,84.41721179198576,93.42019529774088,36.38253256839121,Standing,Squatting
290,5.8,83.54118362129157,82.51890022764465,91.75917905147642,36.557377632888944,Standing,Squatting
291,5.82,80.21577000354083,81.02765949398301,90.54996606066996,36.46614073022034,Standing,Squatting
292,5.84,80.21577000354083,80.19688662635849,89.96182563880726,36.700884844664564,Standing,Squatting
293,5.86,79.32264506611305,79.67227197893439,89.55998804277951,36.457674226260316,Standing,Squatting
294,5.88,79.87251465536782,79.30839979129993,89.26378379966455,36.146881010890496,Standing,Squatting
